Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
camino-real-real-blanco-shot,TEQ150BS,Camino Real Tequila Blanco Shot,Shots,,N,Shot Size,150ml - Big Shot,,,,,252.00,,,,N,Y,600.00,,
camino-real-real-blanco-shot,TEQ25,,,,,,25ml - Tiny Shot,,,,,41.00,,,,,Y,130.00,,
camino-real-real-blanco-shot,TEQMS75,,,,,,75ml - Medium Shot,,,,,126.00,,,,,Y,320.00,,
candle-🕯,CAN32,Candle 🕯,General,,N,,,,,,,10.00,,,,N,Y,30.00,,
caprice,CAP50,Caprice Box Wine,Alcohol,<p>Red Wine</p>,N,,,,,,,900.00,,,,Y,Y,1800.00,0.000,
captain-morgan-rum-750ml,CAP75,Captain Morgan Gold Rum 750ml,Alcohol,,N,,,,,,,994.00,,,,Y,Y,2300.00,1.000,
captain-morgan-gold-rum-shot-cap75,CAP75-H125,Captain Morgan Gold Rum Shot,Shots,,N,Size,125ml - Half Quarter,,,,,165.67,,,,N,Y,300.00,,
captain-morgan-gold-rum-shot-cap75,CAP75-B150,,,,,,150ml - Big Shot,,,,,198.80,,,,,Y,430.00,,
captain-morgan-gold-rum-shot-cap75,CAP75-T25,,,,,,25ml - Tiny Shot,,,,,33.13,,,,,Y,90.00,,
captain-morgan-gold-rum-shot-cap75,CAP75-M75,,,,,,75ml - Medium Shot,,,,,99.40,,,,,Y,230.00,,
carrier-bag-(cotton),CRB79,Carrier Bag (Cotton),General,,N,,,,,,,0.00,,,,N,Y,30.00,,
cell-phone-charge,SRV04,Cell Phone Charge 📱,Services,,N,,,,,,,0.00,,,,N,Y,30.00,,
